"id","prediction","predictions"
1024876,1771.80607440223,1619.22078674974
1024877,2487.97848742019,3661.57565150351
1024878,1135.41007293857,1407.59703436313
1024879,1800.76263986365,2070.13481497869
1024880,1728.39507895234,2011.71305926736
1024881,1145.911823237,1057.07036414967
1024882,1582.64770518393,1726.24638781047
1024883,997.712482888057,1036.77748061394
1024884,1167.80164958674,1255.39624945548
1024885,1756.67063147413,2439.06656373416
1024886,1196.16135260524,1385.60253859604
1024887,2152.56158536382,3195.73696158
1024888,4255.8025473774,4667.9366917213
1024889,1539.86812376034,2104.48605346142
1024890,1685.5032044994,1578.9507949763
1024891,1459.72447525887,1509.49394503008
1024892,2531.54553383648,2864.88663407599
1024893,2652.25911653728,3197.25643675876
1024894,996.574230261926,1103.83705381958
1024895,2236.79540923005,2400.14492904495
1024896,2918.99715686781,2433.36646603678
1024897,1294.16405705821,1609.82084139165
1024898,1599.40786462965,1685.40161082953
1024899,1323.43314014755,1238.71006501807
1024900,2585.16417950248,3888.59426659656
1024901,3144.36450039973,3682.0877347322
1024902,3024.92839238586,4109.1896605668
1024903,1467.05753354429,1568.37384361107
1024904,962.504121709439,1255.55134335796
1024905,1898.50117604777,1829.04282174975
1024906,1332.71334349334,1169.27894664266
1024907,3259.14938722488,3148.23297488371
1024908,968.045973719208,993.630693724618
1024909,1855.47882676674,1983.93448408971
1024910,1012.63538309154,1015.56870797874
1024911,2369.03845557553,2138.89910599107
1024912,1333.12195315102,1278.47962857778
1024913,2796.29016386063,2844.88717796404
1024914,1185.0734994455,1324.43854404678
1024915,2329.76897790803,2650.17640309282
1024916,1921.72587283428,1725.38930041095
1024917,1678.80996175712,1944.76797339426
1024918,1374.61837511179,1214.20283425408
1024919,1147.42606441891,1088.14553829297
1024920,2162.58016862307,2435.96376215687
1024921,1138.13731680336,1184.3601339991
1024922,2606.55102760511,2943.75994380993
1024923,2411.82971665161,2336.22361116695
1024924,1103.34275121617,1288.0589108705
1024925,1086.87916925266,992.670561653326
1024926,1303.04868025563,1074.10454368198
1024927,1334.41670268006,1479.94717039926
1024928,1447.74998090425,1825.43236599034
1024929,1596.86581787426,1981.31800821652
1024930,1826.73820442857,2458.68585939277
1024931,2644.3301897642,3989.96900814998
1024932,2872.68631350516,2571.39403295643
1024933,1859.47913598776,2182.96838004443
1024934,4133.81999092067,3925.06346360686
1024935,1648.2631881724,1819.73094522696
1024936,2152.30827407484,2632.6913818375
1024937,2511.00719620649,3080.36320616894
1024938,1131.08593074884,1204.63048779179
1024939,2215.62936313214,2690.97885497075
1024940,1218.25342114926,1360.73757297482
1024941,1762.56304664014,2216.11816855128
1024942,1451.39126813095,1600.77929847742
1024943,1264.35892919343,1176.79473907031
1024944,1076.43336746493,1030.84511212672
1024945,1071.6534639548,943.91704417593
1024946,1614.58916575107,1794.47448207366
1024947,1949.44084526867,1634.74802514996
1024948,1537.90493243854,1670.87682053992
1024949,1108.40064778025,1166.71306427855
1024950,1714.3753256672,1556.64842281193
1024951,2067.75285791438,1749.04901974916
1024952,4122.30703781848,5004.67203201992
1024953,3191.235785693,3020.93812288806
1024954,2211.6485190664,2002.64584131034
1024955,2535.84045431107,2417.7613983283
1024956,1226.47054764139,1409.48193013577
1024957,3337.56715943639,3320.89142269486
1024958,1674.84105477082,1676.41781434963
1024959,2289.64078844655,2168.73730001057
1024960,2509.78580554433,2487.19119741957
1024961,1484.51045615727,1894.54345796251
1024962,1311.3991441584,1086.93663237783
1024963,1321.6034994244,1094.87711343742
1024964,3424.67050556494,3891.97938813295
1024965,1450.25901917724,1342.92420867877
1024966,1834.35717100372,1874.99285675105
1024967,1289.06391493233,1479.47866867797
1024968,949.31417385384,1154.71321406235
1024969,2253.4532949803,2391.2868163083
1024970,2500.72519702133,4020.72006168598
1024971,1567.08450555854,1491.09931659129
1024972,1272.83673947483,1515.20928971194
1024973,2678.83340146432,2527.18152517779
1024974,985.044286463567,1135.59091809091
1024975,1446.40930138519,1625.98685007537
1024976,1569.75266522239,1511.56469781078
1024977,1885.77611829015,1926.18314122844
1024978,1370.10433769183,1820.2198279997
1024979,1850.58630839734,1942.39428480713
1024980,897.750668110681,1023.68874537938
1024981,2814.57155085593,3474.25952833857
1024982,3230.82885542762,3075.33000275202
1024983,3238.56146038638,3810.90359031421
1024984,3028.23738722109,3051.1849481012
1024985,1831.31252890323,1947.86506993967
1024986,2113.79325776319,2158.42504275405
1024987,1923.33448817484,2007.03476710273
1024988,1622.36980832272,1672.15285598073
1024989,1675.85813292161,1622.71120504115
1024990,1386.63342986501,1099.17870441239
1024991,1523.53263422492,1393.57473418771
1024992,1232.50762862477,1114.438620375
1024993,1764.77134834749,1619.88676153009
1024994,1200.05064217171,1149.73173205691
1024995,1933.38318153536,2002.88645455
1024996,2775.27438123643,2994.89903505546
1024997,1974.71320362528,1902.97429863233
1024998,1155.25906968141,1326.67344574476
1024999,1238.87892076672,1654.49224887449
1025000,1137.19924570469,1570.9683888975
1025001,1842.00646094505,1636.71355631519
1025002,1599.01660006351,1536.52406093172
1025003,2647.71750345381,3171.60314393144
1025004,1570.44042608041,1626.2141230832
1025005,2171.49253134966,2084.65769075271
1025006,1677.8064676931,1938.49173727509
1025007,3665.15158781228,3851.30154267776
1025008,1769.30813156414,1911.48677483681
1025009,1248.26892847219,1519.37617538205
1025010,1645.84826756507,1642.93950256609
1025011,1617.36766933301,2135.86047198618
1025012,2182.96213143121,2264.11915875829
1025013,1311.44678155977,1621.46946100141
1025014,1019.13531175788,1167.6171045481
1025015,3222.19155914141,3872.92625145054
1025016,1360.11325484304,2027.95048300663
1025017,2197.42790146989,2124.14286946422
1025018,993.615779784135,1181.09025499035
1025019,1894.16535318786,1979.26415468364
1025020,2944.50330538765,3535.91360965342
1025021,2615.79333891524,2678.46551465703
1025022,1873.39448157235,2477.88088516101
1025023,1548.06110501043,1351.50273388233
1025024,1382.61556354481,1489.02754132526
1025025,2550.6458628354,5351.23004441218
1025026,886.136774768285,1197.24073764477
1025027,2301.7707074595,2374.47548078032
1025028,2341.04810234321,2471.73631763955
1025029,1654.54265632256,1686.95665384985
1025030,2057.24304054365,2310.46739385549
1025031,1940.93266300191,1490.86557729947
1025032,1833.75739435626,1701.7135440745
1025033,946.270065864386,1114.80812130308
1025034,1005.66800612157,1191.4492009568
1025035,1106.39233392257,1432.20417107434
1025036,2406.1276237319,2672.28125981373
1025037,3363.24324312982,3188.38385866349
1025038,2158.96163954491,1920.97207296711
1025039,1663.39670354602,2044.77191453433
1025040,1505.23856493377,1510.20186498605
1025041,2106.87016318104,2344.0479715361
1025042,896.798972949932,898.933199232891
1025043,2868.93729352622,3286.15971857505
1025044,1126.02060269689,1139.05572421383
1025045,1502.76020449016,1519.92421240012
1025046,3728.02572837194,4150.88705436297
1025047,1448.59439676955,1433.8137891607
1025048,1540.35774382082,1362.26334781195
1025049,1636.46512581748,1880.95797234364
1025050,1916.13748860092,2183.36966234721
1025051,1674.53116923884,1709.8190064674
1025052,1207.9972235527,1496.28069489841
1025053,1290.77287947309,1633.47586204256
1025054,2482.56727767271,2916.10658840247
1025055,1379.41181027753,1668.71300911303
1025056,2738.23357939162,3078.48638387553
1025057,1393.84003685259,1354.54631816661
1025058,1444.67777789048,1781.3795794237
1025059,2219.28948502329,2092.99043279122
1025060,2528.3130955995,2573.15358868569
1025061,1218.67215498987,1228.75667219425
1025062,1239.96971280562,1528.76199133921
1025063,2202.72266567015,2113.27699042278
1025064,1534.53558895928,1783.95209632888
1025065,1677.7323515414,1804.07268302221
1025066,1070.67527376287,1171.04150944627
1025067,2923.06528639256,3874.02539047747
1025068,2596.15785543307,3541.31804952753
1025069,3397.08460639275,3074.83042721192
1025070,1298.89457902395,1381.51269557582
1025071,1144.23961768287,1354.67639218669
1025072,2667.93115793492,2712.1657284706
1025073,1610.04069465888,1800.9744318723
1025074,1491.1018374989,1510.97899517962
1025075,1393.70203662347,1573.9324407033
1025076,1786.64273830275,2029.94560264531
1025077,1530.93878052205,1829.06262299243
1025078,3524.51681297415,3600.68571517379
1025079,2469.67981227712,2788.69976948165
1025080,1657.76396803861,3131.4624685833
1025081,1952.83022596879,1645.6195108448
1025082,1614.94251078346,1946.42016944966
1025083,1600.59937533412,1624.92016292167
1025084,1280.01244076127,2202.83923371652
1025085,1220.91736533764,1356.348904898
1025086,1485.17984577735,1602.12395635932
1025087,1254.05164289555,1250.59549492529
1025088,2234.85859473576,2419.14584376754
1025089,1803.00935190838,2126.77734761383
1025090,1325.35679958449,1380.24419171857
1025091,1964.04587115114,2152.3940218634
1025092,1503.21197027901,1508.17737321197
1025093,1986.07570676311,2122.17918627885
1025094,1901.27708400537,1787.43789832205
1025095,1041.15321569606,961.158157634869
1025096,2444.67809842529,2964.10798679033
1025097,2878.62602465134,3386.7146018033
1025098,1243.54062178839,1658.96846134052
1025099,2537.1578587912,3156.62111867603
1025100,1654.44417069264,2007.45762667913
1025101,1137.03610118631,1363.1220257392
1025102,1915.89464411144,2425.65004755737
1025103,1905.31658311145,2240.90106604134
1025104,1473.52599904146,1627.5971040896
1025105,1810.30572205967,1665.88290037784
1025106,1330.96583484656,1531.54602680508
1025107,2400.06858694735,2567.77172567086
1025108,1619.81247897606,1870.33876905837
1025109,3408.63929754325,3766.46740732916
1025110,1284.9303772161,1196.1062188224
1025111,1926.56401036932,2254.28044933647
1025112,2770.83845870408,3104.51130423885
1025113,2514.47332840996,3081.29441410087
1025114,3619.19797049406,4268.57814522667
1025115,2266.51736557096,2554.72513038729
1025116,1088.38902422101,1453.42653090942
1025117,1024.20072811394,1058.13615862742
1025118,2207.37125612125,2323.33054073005
1025119,1007.44739647996,1059.79631499991
1025120,2489.64613977744,2424.340450423
1025121,2687.94910631015,2701.54918001218
1025122,1654.91521820989,2141.5218589878
1025123,3131.62898801093,2759.22672018198
1025124,2127.6800438722,2050.74460477729
1025125,3204.82233829329,3859.27253775873
1025126,2317.49524906309,2680.37100256795
1025127,3382.16925977963,2977.51482672243
1025128,1877.38721937954,1872.48693944009
1025129,2638.65534236379,2069.85536839431
1025130,1390.20108432705,1319.48772994066
1025131,2951.49782125917,2823.4103228114
1025132,2131.87583186682,2242.92393062155
1025133,1915.61301492453,1991.04972582976
1025134,1172.4871328087,1266.12214140641
1025135,1540.32433647993,1681.02182165853
1025136,2040.04242368992,2131.56612854892
1025137,1298.23123551549,1571.03020275986
1025138,2002.58907646047,1987.31896359527
1025139,1240.0070063937,1080.47822881324
1025140,1857.15313885831,2567.6867917778
1025141,2414.25419583256,2445.99496707594
1025142,2286.16244183865,2314.54368414758
1025143,1260.8176170927,1324.80384729039
1025144,3513.51081835719,3258.5337542061
1025145,1320.77441412375,1472.1765457973
1025146,1355.27304427699,1348.32576728587
1025147,1788.54411140673,1611.80615922356
1025148,1121.89933778305,1268.05173664494
1025149,1360.3434471446,1175.01097842142
1025150,2066.64368066293,2622.26158521841
1025151,1292.25294693749,1756.93451098552
1025152,2140.45235973137,2168.79429370969
1025153,2671.88415534989,3320.18851668804
1025154,1120.77205168168,1144.28952062605
1025155,2919.93550481473,3196.30767146496
1025156,1760.49120938278,1550.02963926239
1025157,1675.42618036549,1893.43091626384
1025158,2388.14721572844,2445.62448922351
1025159,1084.91644819605,1426.96790780899
1025160,2415.7372153621,3126.574353513
1025161,956.257761008037,1040.31566068857
1025162,1171.21827876922,1173.16151757485
1025163,1412.72569530009,1576.63661298172
1025164,1011.77767992863,1011.5201658708
1025165,2232.32456469222,2903.59988553123
1025166,1810.40953453166,1817.34910459124
1025167,622.771320906077,1068.06718407685
1025168,2664.577272076,3670.1866143662
1025169,1348.03612791387,1456.29680189826
1025170,2101.47718645875,2258.10133171832
1025171,2393.04101877864,2770.76310764723
1025172,1730.3579605713,2272.64030199458
1025173,1020.05905857304,987.521577982148
1025174,2584.03619178968,3006.47133132001
1025175,1555.20770910869,2105.2929329125
1025176,1191.30778876127,1147.55257429602
1025177,3136.83363379317,2301.25913443736
1025178,2361.30305804038,1599.34053147667
1025179,3244.95017441055,4002.38546259336
1025180,1968.27930052576,2851.57698333025
1025181,1626.7631179638,1562.67151415941
1025182,1798.50205533622,1852.3022362834
1025183,1235.80200738827,1628.27670481463
1025184,1915.06149230936,2074.40013643897
1025185,1829.87167279763,1711.19310583983
1025186,2412.49059954916,2255.60191834878
1025187,4223.99445330136,3045.27334879269
1025188,1667.38172029295,1666.27528037883
1025189,1478.90881955163,1672.46473804953
1025190,1763.12325031581,1630.58200640672
1025191,2202.24352625098,3600.23835992925
1025192,1356.49095654904,1411.75023257459
1025193,1434.82245609417,2128.63076020532
1025194,2370.02617343795,2479.81424349995
1025195,1200.53926410743,1062.72649642292
1025196,971.033001693214,1106.76347720427
1025197,1508.70859743986,1838.84468622479
1025198,3128.64312314388,3609.09072396692
1025199,1347.10970862012,1259.21814585247
1025200,1468.22327491291,1715.99180018089
1025201,2050.71652377539,1820.51906687108
1025202,3475.14281904696,3882.17360266216
1025203,992.605237064356,1057.30613414249
1025204,1648.03229135163,1610.60572473223
1025205,1755.92164580323,1819.90828896842
1025206,1763.262271046,1708.02178778504
1025207,2130.5503999481,3068.74979607295
1025208,2589.28277961148,2815.75600142735
1025209,1820.00148604824,1890.96618168378
1025210,1470.31405704705,1772.41782197787
1025211,1961.10506584388,2458.40077965303
1025212,840.575011874931,813.417748435275
1025213,1725.96006296074,1586.49741087728
1025214,1689.78189282021,1941.98869205584
1025215,1271.97085788142,1538.05929635032
1025216,1130.53103265136,1155.51955475658
1025217,2140.04250118613,2512.53296248867
1025218,1269.90518873277,1756.87297869828
1025219,1086.43320281374,1172.3823881674
1025220,3489.87300874717,3243.045270446
